id,collection,dspace.entity.type,dc.title[en],dc.title[fr],nrcan.area.source
+,123456789s/18,Area,Old Town Lunenburg Historic District National Historic Site of Canada,Lieu historique national du Canada de l'Arrondissement-Historique-du-Vieux-Lunenburg,geo names db
+,123456789s/18,Area,Old Burying Ground National Historic Site of Canada,Lieu historique national du Canada de l'Ancien-Cimetière,geo names db
+,123456789s/18,Area,Liverpool Town Hall National Historic Site of Canada,Lieu historique national du Canada de l'Hôtel-de-Ville-de-Liverpool,geo names db
+,123456789s/18,Area,Knaut-Rhuland House National Historic Site of Canada,Lieu historique national du Canada de la Maison-Knaut-Rhuland,geo names db
+,123456789s/18,Area,Jonathan McCully House National Historic Site of Canada,Lieu historique national du Canada de la Maison-Jonathan-McCully,geo names db
+,123456789s/18,Area,Waterton-Glacier International Peace Park,Parc international de la paix Waterton-Glacier,geo names db
+,123456789s/18,Area,Fonteneau Lake,Lac Fonteneau,geo names db
+,123456789s/18,Area,Sainte-Anne-de-Bellevue Canal National Historic Site of Canada,Lieu historique national du Canada du Canal-de-Sainte-Anne-de-Bellevue,geo names db
+,123456789s/18,Area,Cheese Factory Bay,Baie Cheese Factory,geo names db
+,123456789s/18,Area,Baie des Loups Bird Sanctuary,Refuge d'oiseaux de la Baie-des-Loups,geo names db
+,123456789s/18,Area,Saint-Vallier Bird Sanctuary,Refuge d'oiseaux de Saint-Vallier,geo names db
+,123456789s/18,Area,Saint-Omer Bird Sanctuary,Refuge d'oiseaux de Saint-Omer,geo names db
+,123456789s/18,Area,Nicolet Bird Sanctuary,Refuge d'oiseaux de Nicolet,geo names db
+,123456789s/18,Area,Detour River,Rivière du Détour,geo names db
+,123456789s/18,Area,Carillon Island Bird Sanctuary,Refuge d'oiseaux de l'le Carillon,geo names db
+,123456789s/18,Area,L'Isle-Verte Bird Sanctuary,Refuge d'oiseaux de L'Isle-Verte,geo names db
+,123456789s/18,Area,West Nipissing,Nipissing Ouest,geo names db
+,123456789s/18,Area,Mississauga Point Lighthouse National Historic Site of Canada,Lieu historique national du Canada du Phare-de-la-Pointe-Mississauga,geo names db
+,123456789s/18,Area,Prince of Wales Tower National Historic Site of Canada,Lieu historique national du Canada de la Tour-Prince-de-Galles,geo names db
+,123456789s/18,Area,York Redoubt National Historic Site of Canada,Lieu historique national du Canada de la Redoute-York,geo names db
+,123456789s/18,Area,St. Peters Canal National Historic Site of Canada,Lieu historique national du Canada du Canal-de-St. Peters,geo names db
+,123456789s/18,Area,Charles Fort National Historic Site of Canada,Lieu historique national du Canada du Fort-Charles,geo names db
+,123456789s/18,Area,Sisson Brook,Ruisseau Sisson,geo names db
+,123456789s/18,Area,Grassy Island Fort National Historic Site of Canada,Lieu historique national du Canada du Fort-de-l'île-Grassy,geo names db
+,123456789s/18,Area,Nááts'ihch'oh National Park Reserve of Canada,Réserve à vocation de parc national Nááts'ihch'oh du Canada,geo names db
+,123456789s/18,Area,Raft Channel,Chenal Raft,geo names db
+,123456789s/18,Area,SGang Gwaay World Heritage Site,Site du patrimoine mondial SGang Gwaay,geo names db
+,123456789s/18,Area,Winona Range,Champ de tir Winona,geo names db
+,123456789s/18,Area,Monument Lefebvre National Historic Site of Canada,Lieu historique national du Canada du Monument-Lefebvre,geo names db
+,123456789s/18,Area,Fort Malden National Historic Site of Canada,Lieu historique national du Canada du Fort-Malden,geo names db
+,123456789s/18,Area,Canadian Forces Base Borden,Base des Forces canadiennes Borden,geo names db
+,123456789s/18,Area,Canadian Forces Base Shilo,Base des Forces canadiennes Shilo,geo names db
+,123456789s/18,Area,National Capital Region,Région de la Capitale nationale,geo names db
+,123456789s/18,Area,Cedar Springs Range,Champ de tir Cedar Springs,geo names db
+,123456789s/18,Area,Raven Lake,Lac Raven,geo names db
+,123456789s/18,Area,Strait of Belle Isle,Détroit de Belle Isle,geo names db
+,123456789s/18,Area,St. Andrews Blockhouse National Historic Site of Canada,Lieu historique national du Canada du Blockhaus-de-St. Andrews,geo names db
+,123456789s/18,Area,Winnipeg River,Rivière Winnipeg,geo names db
+,123456789s/18,Area,Lake of the Woods,Lac des Bois,geo names db
+,123456789s/18,Area,Holden Lake,Lac Holden,geo names db
+,123456789s/18,Area,Lake Winnipeg,Lac Winnipeg,geo names db
+,123456789s/18,Area,Lake Winnipegosis,Lac Winnipegosis,geo names db
+,123456789s/18,Area,Nelson River,Fleuve Nelson,geo names db
+,123456789s/18,Area,Lake Manitoba,Lac Manitoba,geo names db
+,123456789s/18,Area,St. Charles Range,Champ de tir Saint Charles,geo names db
+,123456789s/18,Area,Shilo Range and Training Area,Champ de tir et champ de manoeuvre Shilo,geo names db
+,123456789s/18,Area,Fort Mississauga National Historic Site of Canada,Lieu historique national du Canada du Fort-Mississauga,geo names db
+,123456789s/18,Area,Seine River Diversion,Canal de drivation de la Rivière Seine,geo names db
+,123456789s/18,Area,Morris River,Rivière Morris,geo names db
+,123456789s/18,Area,Seine River,Rivière Seine,geo names db
+,123456789s/18,Area,Pembina River,Rivière Pembina,geo names db
+,123456789s/18,Area,Remic Rapids,Rapides Remic,geo names db
+,123456789s/18,Area,Fish Creek,Ruisseau Fish,geo names db
+,123456789s/18,Area,Red River Floodway,Canal de dérivation de la Rivière Rouge,geo names db
+,123456789s/18,Area,Korah Training Area,Champ de manoeuvre Korah,geo names db
+,123456789s/18,Area,Plum River,Rivière aux Prunes,geo names db
+,123456789s/18,Area,Dymond,Village à Breault,geo names db
+,123456789s/18,Area,Albert Beach,Plage Albert,geo names db
+,123456789s/18,Area,Abitibi River,Rivière Abitibi,geo names db
+,123456789s/18,Area,Barnard Lake,Lac-Bernard,geo names db
+,123456789s/18,Area,The Forks National Historic Site of Canada,Lieu historique national du Canada de La Fourche,geo names db
+,123456789s/18,Area,Beaucage Point,Pointe Beaucage,geo names db
+,123456789s/18,Area,York Factory National Historic Site of Canada,Lieu historique national du Canada York Factory,geo names db
+,123456789s/18,Area,Beausoleil Island,Île Beausoleil,geo names db
+,123456789s/18,Area,Beckwith Island,Île Ronde,geo names db
